# Source: R-VAN Rotary Nozzles Technical Specifications D41159B, revision 2024, https://www.rainbird.com/media/5917, retrieved 2026-08-23
arc_degrees,pressure_psi,radius_ft,flow_gpm,precip_square_in_per_hr,precip_triangular_in_per_hr
360,30,16,1.65,0.62,0.72
360,35,16,1.67,0.63,0.73
360,40,17,1.80,0.60,0.69
360,45,17,1.85,0.62,0.71
360,50,18,2.05,0.61,0.70
360,55,18,2.11,0.63,0.72
