# Source: R-VAN Rotary Nozzles Technical Specifications D41159B, revision 2024, https://www.rainbird.com/media/5917, retrieved 2026-08-23
arc_degrees,pressure_psi,radius_ft,flow_gpm,precip_square_in_per_hr,precip_triangular_in_per_hr
270,30,16,1.26,0.65,0.75
270,35,16,1.35,0.64,0.74
270,40,17,1.42,0.63,0.73
270,45,17,1.51,0.64,0.73
270,50,18,1.57,0.60,0.69
270,55,18,1.62,0.60,0.69
210,30,16,0.98,0.63,0.73
210,35,16,1.05,0.68,0.78
210,40,17,1.10,0.63,0.73
210,45,17,1.17,0.64,0.77
210,50,18,1.22,0.62,0.72
210,55,18,1.26,0.64,0.74
180,30,16,0.85,0.65,0.75
180,35,16,0.91,0.64,0.74
180,40,17,0.98,0.63,0.73
180,45,17,1.01,0.64,0.73
180,50,18,1.07,0.60,0.69
180,55,18,1.09,0.60,0.69
90,30,16,0.42,0.65,0.75
90,35,16,0.47,0.64,0.74
90,40,17,0.50,0.63,0.73
90,45,17,0.50,0.64,0.73
90,50,18,0.54,0.60,0.69
90,55,18,0.58,0.60,0.69
