# Source: R-VAN Rotary Nozzles Technical Specifications D41159B, revision 2024, https://www.rainbird.com/media/5917, retrieved 2026-08-23
arc_degrees,pressure_psi,radius_ft,flow_gpm,precip_square_in_per_hr,precip_triangular_in_per_hr
270,30,13,0.84,0.64,0.76
270,35,13,0.87,0.66,0.74
270,40,14,0.92,0.60,0.71
270,45,14,0.94,0.62,0.70
270,50,15,1.11,0.63,0.73
270,55,15,1.17,0.67,0.77
210,30,13,0.65,0.64,0.76
210,35,13,0.68,0.66,0.74
210,40,14,0.72,0.60,0.71
210,45,14,0.73,0.62,0.70
210,50,15,0.86,0.63,0.73
210,55,15,0.91,0.67,0.77
180,30,13,0.56,0.64,0.76
180,35,13,0.58,0.66,0.74
180,40,14,0.61,0.60,0.71
180,45,14,0.63,0.62,0.70
180,50,15,0.74,0.63,0.73
180,55,15,0.78,0.67,0.77
90,30,13,0.28,0.64,0.76
90,35,13,0.29,0.66,0.74
90,40,14,0.31,0.62,0.71
90,45,14,0.32,0.61,0.70
90,50,15,0.37,0.63,0.73
90,55,15,0.39,0.67,0.77
